instance_name,file_name,subtype,replicate,seed,nvars,ncons_requested,ncons_realized,eq_constraints,ineq_constraints,p_con_eq,var_threshold_lb,var_threshold_ub,p_var_is_candidate,p_var_bilin,p_var_diag,p_var_lin,coeff_lb,coeff_ub,force_diag_even,force_lin_even,force_bilin_even,force_feasibility,constraint_slack_range
random_bilinear_014,random_bilinear_014.lp,bilinear,14,10013,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_015,random_bilinear_015.lp,bilinear,15,10014,50,50,50,24,26,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_016,random_bilinear_016.lp,bilinear,16,10015,50,50,50,19,31,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_017,random_bilinear_017.lp,bilinear,17,10016,50,50,50,31,19,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_018,random_bilinear_018.lp,bilinear,18,10017,50,50,50,29,21,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_019,random_bilinear_019.lp,bilinear,19,10018,50,50,50,21,29,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_020,random_bilinear_020.lp,bilinear,20,10019,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_021,random_bilinear_021.lp,bilinear,21,10020,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_022,random_bilinear_022.lp,bilinear,22,10021,50,50,50,28,22,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_023,random_bilinear_023.lp,bilinear,23,10022,50,50,50,24,26,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_024,random_bilinear_024.lp,bilinear,24,10023,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_025,random_bilinear_025.lp,bilinear,25,10024,50,50,50,30,20,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_026,random_bilinear_026.lp,bilinear,26,10025,50,50,50,24,26,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_027,random_bilinear_027.lp,bilinear,27,10026,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_028,random_bilinear_028.lp,bilinear,28,10027,50,50,50,21,29,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_029,random_bilinear_029.lp,bilinear,29,10028,50,50,50,24,26,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_030,random_bilinear_030.lp,bilinear,30,10029,50,50,50,28,22,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_separable_001,random_separable_001.lp,separable,1,10000,50,50,50,27,23,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_002,random_separable_002.lp,separable,2,10001,50,50,50,26,24,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_003,random_separable_003.lp,separable,3,10002,50,50,50,26,24,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_004,random_separable_004.lp,separable,4,10003,50,50,50,25,25,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_005,random_separable_005.lp,separable,5,10004,50,50,50,27,23,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_006,random_separable_006.lp,separable,6,10005,50,50,50,21,29,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_007,random_separable_007.lp,separable,7,10006,50,50,50,25,25,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_008,random_separable_008.lp,separable,8,10007,50,50,50,22,28,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_009,random_separable_009.lp,separable,9,10008,50,50,50,27,23,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_010,random_separable_010.lp,separable,10,10009,50,50,50,27,23,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_011,random_separable_011.lp,separable,11,10010,50,50,50,31,19,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_012,random_separable_012.lp,separable,12,10011,50,50,50,27,23,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_013,random_separable_013.lp,separable,13,10012,50,50,50,23,27,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_014,random_separable_014.lp,separable,14,10013,50,50,50,27,23,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_015,random_separable_015.lp,separable,15,10014,50,50,50,29,21,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_016,random_separable_016.lp,separable,16,10015,50,50,50,19,31,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_017,random_separable_017.lp,separable,17,10016,50,50,50,24,26,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_018,random_separable_018.lp,separable,18,10017,50,50,50,29,21,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_019,random_separable_019.lp,separable,19,10018,50,50,50,22,28,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_020,random_separable_020.lp,separable,20,10019,50,50,50,27,23,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_021,random_separable_021.lp,separable,21,10020,50,50,50,25,25,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_022,random_separable_022.lp,separable,22,10021,50,50,50,26,24,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_023,random_separable_023.lp,separable,23,10022,50,50,50,24,26,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_024,random_separable_024.lp,separable,24,10023,50,50,50,27,23,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_025,random_separable_025.lp,separable,25,10024,50,50,50,35,15,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_026,random_separable_026.lp,separable,26,10025,50,50,50,24,26,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_027,random_separable_027.lp,separable,27,10026,50,50,50,26,24,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_028,random_separable_028.lp,separable,28,10027,50,50,50,26,24,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_029,random_separable_029.lp,separable,29,10028,50,50,50,28,22,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_separable_030,random_separable_030.lp,separable,30,10029,50,50,50,32,18,0.5,-10,10,0.2,0.0,0.2,0.2,-50,50,false,false,true,true,-5:5
random_pure_001,random_pure_001.lp,pure,1,10000,50,50,50,32,18,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_002,random_pure_002.lp,pure,2,10001,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_003,random_pure_003.lp,pure,3,10002,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_004,random_pure_004.lp,pure,4,10003,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_005,random_pure_005.lp,pure,5,10004,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_006,random_pure_006.lp,pure,6,10005,50,50,50,19,31,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_007,random_pure_007.lp,pure,7,10006,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_008,random_pure_008.lp,pure,8,10007,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_009,random_pure_009.lp,pure,9,10008,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_010,random_pure_010.lp,pure,10,10009,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_011,random_pure_011.lp,pure,11,10010,50,50,50,33,17,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_012,random_pure_012.lp,pure,12,10011,50,50,50,29,21,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_013,random_pure_013.lp,pure,13,10012,50,50,50,24,26,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_014,random_pure_014.lp,pure,14,10013,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_015,random_pure_015.lp,pure,15,10014,50,50,50,22,28,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_016,random_pure_016.lp,pure,16,10015,50,50,50,21,29,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_017,random_pure_017.lp,pure,17,10016,50,50,50,31,19,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_018,random_pure_018.lp,pure,18,10017,50,50,50,29,21,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_019,random_pure_019.lp,pure,19,10018,50,50,50,21,29,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_020,random_pure_020.lp,pure,20,10019,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_021,random_pure_021.lp,pure,21,10020,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_022,random_pure_022.lp,pure,22,10021,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_023,random_pure_023.lp,pure,23,10022,50,50,50,24,26,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_024,random_pure_024.lp,pure,24,10023,50,50,50,24,26,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_025,random_pure_025.lp,pure,25,10024,50,50,50,30,20,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_026,random_pure_026.lp,pure,26,10025,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_027,random_pure_027.lp,pure,27,10026,50,50,50,30,20,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_028,random_pure_028.lp,pure,28,10027,50,50,50,22,28,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_029,random_pure_029.lp,pure,29,10028,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_pure_030,random_pure_030.lp,pure,30,10029,50,50,50,31,19,0.5,-10,10,0.2,0.2,0.2,0.0,-50,50,false,false,true,true,-5:5
random_generic_001,random_generic_001.lp,generic,1,10000,50,50,50,34,16,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_002,random_generic_002.lp,generic,2,10001,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_003,random_generic_003.lp,generic,3,10002,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_004,random_generic_004.lp,generic,4,10003,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_005,random_generic_005.lp,generic,5,10004,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_006,random_generic_006.lp,generic,6,10005,50,50,50,20,30,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_007,random_generic_007.lp,generic,7,10006,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_008,random_generic_008.lp,generic,8,10007,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_009,random_generic_009.lp,generic,9,10008,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_010,random_generic_010.lp,generic,10,10009,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_011,random_generic_011.lp,generic,11,10010,50,50,50,31,19,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_012,random_generic_012.lp,generic,12,10011,50,50,50,29,21,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_013,random_generic_013.lp,generic,13,10012,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_014,random_generic_014.lp,generic,14,10013,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_015,random_generic_015.lp,generic,15,10014,50,50,50,22,28,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_016,random_generic_016.lp,generic,16,10015,50,50,50,19,31,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_017,random_generic_017.lp,generic,17,10016,50,50,50,31,19,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_018,random_generic_018.lp,generic,18,10017,50,50,50,29,21,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_019,random_generic_019.lp,generic,19,10018,50,50,50,21,29,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_020,random_generic_020.lp,generic,20,10019,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_021,random_generic_021.lp,generic,21,10020,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_022,random_generic_022.lp,generic,22,10021,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_023,random_generic_023.lp,generic,23,10022,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_024,random_generic_024.lp,generic,24,10023,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_025,random_generic_025.lp,generic,25,10024,50,50,50,30,20,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_026,random_generic_026.lp,generic,26,10025,50,50,50,22,28,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_027,random_generic_027.lp,generic,27,10026,50,50,50,29,21,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_028,random_generic_028.lp,generic,28,10027,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_029,random_generic_029.lp,generic,29,10028,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
random_generic_030,random_generic_030.lp,generic,30,10029,50,50,50,29,21,0.5,-10,10,0.2,0.2,0.2,0.2,-50,50,false,false,true,true,-5:5
