instance_name,type,num,created_at,n,R,seed,num_anchors,alpha,edge_density,pH2,max_coord_tries,max_tries_H2,infeas_strategy,infeas_base,box_scale
con_45,2_connected,45,2026-08-18T22:41:25,20,100,45,0,0.01,0.2,,10000,,,,
con_46,2_connected,46,2026-08-18T22:41:25,20,100,46,0,0.01,0.2,,10000,,,,
con_47,2_connected,47,2026-08-18T22:41:25,20,100,47,0,0.01,0.2,,10000,,,,
con_48,2_connected,48,2026-08-18T22:41:25,20,100,48,0,0.01,0.2,,10000,,,,
con_49,2_connected,49,2026-08-18T22:41:25,20,100,49,0,0.01,0.2,,10000,,,,
con_50,2_connected,50,2026-08-18T22:41:25,20,100,50,0,0.01,0.2,,10000,,,,
con_51,2_connected,51,2026-08-18T22:41:25,100,100,51,0,0.01,0.1,,10000,,,,
con_52,2_connected,52,2026-08-18T22:41:25,100,100,52,0,0.01,0.1,,10000,,,,
con_53,2_connected,53,2026-08-18T22:41:25,100,100,53,0,0.01,0.1,,10000,,,,
con_54,2_connected,54,2026-08-18T22:41:25,100,100,54,0,0.01,0.1,,10000,,,,
con_55,2_connected,55,2026-08-18T22:41:25,100,100,55,0,0.01,0.1,,10000,,,,
con_56,2_connected,56,2026-08-18T22:41:25,100,100,56,0,0.01,0.1,,10000,,,,
con_57,2_connected,57,2026-08-18T22:41:25,100,100,57,0,0.01,0.1,,10000,,,,
con_58,2_connected,58,2026-08-18T22:41:25,100,100,58,0,0.01,0.1,,10000,,,,
con_59,2_connected,59,2026-08-18T22:41:25,100,100,59,0,0.01,0.1,,10000,,,,
con_60,2_connected,60,2026-08-18T22:41:25,100,100,60,0,0.01,0.1,,10000,,,,
con_61,2_connected,61,2026-08-18T22:41:25,20,100,61,3,0.01,0.2,,10000,,,,
con_62,2_connected,62,2026-08-18T22:41:25,20,100,62,3,0.01,0.2,,10000,,,,
con_63,2_connected,63,2026-08-18T22:41:25,20,100,63,3,0.01,0.2,,10000,,,,
con_64,2_connected,64,2026-08-18T22:41:25,20,100,64,3,0.01,0.2,,10000,,,,
con_65,2_connected,65,2026-08-18T22:41:25,20,100,65,3,0.01,0.2,,10000,,,,
con_66,2_connected,66,2026-08-18T22:41:25,20,100,66,3,0.01,0.2,,10000,,,,
con_67,2_connected,67,2026-08-18T22:41:25,20,100,67,3,0.01,0.2,,10000,,,,
con_68,2_connected,68,2026-08-18T22:41:25,20,100,68,3,0.01,0.2,,10000,,,,
con_69,2_connected,69,2026-08-18T22:41:25,20,100,69,3,0.01,0.2,,10000,,,,
con_70,2_connected,70,2026-08-18T22:41:25,20,100,70,3,0.01,0.2,,10000,,,,
con_71,2_connected,71,2026-08-18T22:41:25,100,100,71,3,0.01,0.1,,10000,,,,
con_72,2_connected,72,2026-08-18T22:41:25,100,100,72,3,0.01,0.1,,10000,,,,
con_73,2_connected,73,2026-08-18T22:41:25,100,100,73,3,0.01,0.1,,10000,,,,
con_74,2_connected,74,2026-08-18T22:41:25,100,100,74,3,0.01,0.1,,10000,,,,
con_75,2_connected,75,2026-08-18T22:41:25,100,100,75,3,0.01,0.1,,10000,,,,
con_76,2_connected,76,2026-08-18T22:41:25,100,100,76,3,0.01,0.1,,10000,,,,
con_77,2_connected,77,2026-08-18T22:41:25,100,100,77,3,0.01,0.1,,10000,,,,
con_78,2_connected,78,2026-08-18T22:41:25,100,100,78,3,0.01,0.1,,10000,,,,
con_79,2_connected,79,2026-08-18T22:41:25,100,100,79,3,0.01,0.1,,10000,,,,
con_80,2_connected,80,2026-08-18T22:41:25,100,100,80,3,0.01,0.1,,10000,,,,
lam_1,laman,1,2026-08-18T22:41:25,20,100,1,0,0.0,,0.5,,300,,,
lam_2,laman,2,2026-08-18T22:41:25,20,100,2,0,0.0,,0.5,,300,,,
lam_3,laman,3,2026-08-18T22:41:25,20,100,3,0,0.0,,0.5,,300,,,
lam_4,laman,4,2026-08-18T22:41:25,20,100,4,0,0.0,,0.5,,300,,,
lam_5,laman,5,2026-08-18T22:41:25,20,100,5,0,0.0,,0.5,,300,,,
lam_6,laman,6,2026-08-18T22:41:25,20,100,6,0,0.0,,0.5,,300,,,
lam_7,laman,7,2026-08-18T22:41:25,20,100,7,0,0.0,,0.5,,300,,,
lam_8,laman,8,2026-08-18T22:41:25,20,100,8,0,0.0,,0.5,,300,,,
lam_9,laman,9,2026-08-18T22:41:25,20,100,9,0,0.0,,0.5,,300,,,
lam_10,laman,10,2026-08-18T22:41:25,20,100,10,0,0.0,,0.5,,300,,,
lam_11,laman,11,2026-08-18T22:41:25,100,100,11,0,0.0,,0.5,,300,,,
lam_12,laman,12,2026-08-18T22:41:25,100,100,12,0,0.0,,0.5,,300,,,
lam_13,laman,13,2026-08-18T22:41:25,100,100,13,0,0.0,,0.5,,300,,,
lam_14,laman,14,2026-08-18T22:41:25,100,100,14,0,0.0,,0.5,,300,,,
lam_15,laman,15,2026-08-18T22:41:25,100,100,15,0,0.0,,0.5,,300,,,
lam_16,laman,16,2026-08-18T22:41:25,100,100,16,0,0.0,,0.5,,300,,,
lam_17,laman,17,2026-08-18T22:41:25,100,100,17,0,0.0,,0.5,,300,,,
lam_18,laman,18,2026-08-18T22:41:25,100,100,18,0,0.0,,0.5,,300,,,
lam_19,laman,19,2026-08-18T22:41:25,100,100,19,0,0.0,,0.5,,300,,,
lam_20,laman,20,2026-08-18T22:41:25,100,100,20,0,0.0,,0.5,,300,,,
lam_21,laman,21,2026-08-18T22:41:25,20,100,21,3,0.0,,0.5,,300,,,
lam_22,laman,22,2026-08-18T22:41:25,20,100,22,3,0.0,,0.5,,300,,,
lam_23,laman,23,2026-08-18T22:41:25,20,100,23,3,0.0,,0.5,,300,,,
lam_24,laman,24,2026-08-18T22:41:25,20,100,24,3,0.0,,0.5,,300,,,
lam_25,laman,25,2026-08-18T22:41:25,20,100,25,3,0.0,,0.5,,300,,,
lam_26,laman,26,2026-08-18T22:41:25,20,100,26,3,0.0,,0.5,,300,,,
lam_27,laman,27,2026-08-18T22:41:25,20,100,27,3,0.0,,0.5,,300,,,
lam_28,laman,28,2026-08-18T22:41:25,20,100,28,3,0.0,,0.5,,300,,,
lam_29,laman,29,2026-08-18T22:41:25,20,100,29,3,0.0,,0.5,,300,,,
lam_30,laman,30,2026-08-18T22:41:25,20,100,30,3,0.0,,0.5,,300,,,
lam_31,laman,31,2026-08-18T22:41:25,100,100,31,3,0.0,,0.5,,300,,,
lam_32,laman,32,2026-08-18T22:41:25,100,100,32,3,0.0,,0.5,,300,,,
lam_33,laman,33,2026-08-18T22:41:25,100,100,33,3,0.0,,0.5,,300,,,
lam_34,laman,34,2026-08-18T22:41:25,100,100,34,3,0.0,,0.5,,300,,,
lam_35,laman,35,2026-08-18T22:41:25,100,100,35,3,0.0,,0.5,,300,,,
lam_36,laman,36,2026-08-18T22:41:25,100,100,36,3,0.0,,0.5,,300,,,
lam_37,laman,37,2026-08-18T22:41:25,100,100,37,3,0.0,,0.5,,300,,,
lam_38,laman,38,2026-08-18T22:41:25,100,100,38,3,0.0,,0.5,,300,,,
lam_39,laman,39,2026-08-18T22:41:25,100,100,39,3,0.0,,0.5,,300,,,
lam_40,laman,40,2026-08-18T22:41:25,100,100,40,3,0.0,,0.5,,300,,,
lam_41,laman,41,2026-08-18T22:41:25,20,100,41,0,0.01,,0.5,,300,,,
lam_42,laman,42,2026-08-18T22:41:25,20,100,42,0,0.01,,0.5,,300,,,
lam_43,laman,43,2026-08-18T22:41:25,20,100,43,0,0.01,,0.5,,300,,,
lam_44,laman,44,2026-08-18T22:41:25,20,100,44,0,0.01,,0.5,,300,,,
lam_45,laman,45,2026-08-18T22:41:25,20,100,45,0,0.01,,0.5,,300,,,
lam_46,laman,46,2026-08-18T22:41:25,20,100,46,0,0.01,,0.5,,300,,,
lam_47,laman,47,2026-08-18T22:41:25,20,100,47,0,0.01,,0.5,,300,,,
lam_48,laman,48,2026-08-18T22:41:25,20,100,48,0,0.01,,0.5,,300,,,
lam_49,laman,49,2026-08-18T22:41:25,20,100,49,0,0.01,,0.5,,300,,,
lam_50,laman,50,2026-08-18T22:41:25,20,100,50,0,0.01,,0.5,,300,,,
lam_51,laman,51,2026-08-18T22:41:25,100,100,51,0,0.01,,0.5,,300,,,
lam_52,laman,52,2026-08-18T22:41:25,100,100,52,0,0.01,,0.5,,300,,,
lam_53,laman,53,2026-08-18T22:41:25,100,100,53,0,0.01,,0.5,,300,,,
lam_54,laman,54,2026-08-18T22:41:25,100,100,54,0,0.01,,0.5,,300,,,
lam_55,laman,55,2026-08-18T22:41:25,100,100,55,0,0.01,,0.5,,300,,,
lam_56,laman,56,2026-08-18T22:41:25,100,100,56,0,0.01,,0.5,,300,,,
lam_57,laman,57,2026-08-18T22:41:25,100,100,57,0,0.01,,0.5,,300,,,
lam_58,laman,58,2026-08-18T22:41:25,100,100,58,0,0.01,,0.5,,300,,,
lam_59,laman,59,2026-08-18T22:41:25,100,100,59,0,0.01,,0.5,,300,,,
lam_60,laman,60,2026-08-18T22:41:25,100,100,60,0,0.01,,0.5,,300,,,
lam_61,laman,61,2026-08-18T22:41:25,20,100,61,3,0.01,,0.5,,300,,,
lam_62,laman,62,2026-08-18T22:41:25,20,100,62,3,0.01,,0.5,,300,,,
lam_63,laman,63,2026-08-18T22:41:25,20,100,63,3,0.01,,0.5,,300,,,
lam_64,laman,64,2026-08-18T22:41:25,20,100,64,3,0.01,,0.5,,300,,,
lam_65,laman,65,2026-08-18T22:41:25,20,100,65,3,0.01,,0.5,,300,,,
lam_66,laman,66,2026-08-18T22:41:25,20,100,66,3,0.01,,0.5,,300,,,
lam_67,laman,67,2026-08-18T22:41:25,20,100,67,3,0.01,,0.5,,300,,,
lam_68,laman,68,2026-08-18T22:41:25,20,100,68,3,0.01,,0.5,,300,,,
lam_69,laman,69,2026-08-18T22:41:25,20,100,69,3,0.01,,0.5,,300,,,
lam_70,laman,70,2026-08-18T22:41:25,20,100,70,3,0.01,,0.5,,300,,,
lam_71,laman,71,2026-08-18T22:41:25,100,100,71,3,0.01,,0.5,,300,,,
lam_72,laman,72,2026-08-18T22:41:25,100,100,72,3,0.01,,0.5,,300,,,
lam_73,laman,73,2026-08-18T22:41:25,100,100,73,3,0.01,,0.5,,300,,,
lam_74,laman,74,2026-08-18T22:41:25,100,100,74,3,0.01,,0.5,,300,,,
lam_75,laman,75,2026-08-18T22:41:25,100,100,75,3,0.01,,0.5,,300,,,
lam_76,laman,76,2026-08-18T22:41:25,100,100,76,3,0.01,,0.5,,300,,,
lam_77,laman,77,2026-08-18T22:41:25,100,100,77,3,0.01,,0.5,,300,,,
lam_78,laman,78,2026-08-18T22:41:25,100,100,78,3,0.01,,0.5,,300,,,
lam_79,laman,79,2026-08-18T22:41:25,100,100,79,3,0.01,,0.5,,300,,,
lam_80,laman,80,2026-08-18T22:41:25,100,100,80,3,0.01,,0.5,,300,,,
gr_1,globally_rigid,1,2026-08-18T22:41:25,20,100,1,0,0.0,,,,300,,,
gr_2,globally_rigid,2,2026-08-18T22:41:25,20,100,2,0,0.0,,,,300,,,
gr_3,globally_rigid,3,2026-08-18T22:41:25,20,100,3,0,0.0,,,,300,,,
gr_4,globally_rigid,4,2026-08-18T22:41:25,20,100,4,0,0.0,,,,300,,,
gr_5,globally_rigid,5,2026-08-18T22:41:25,20,100,5,0,0.0,,,,300,,,
gr_6,globally_rigid,6,2026-08-18T22:41:25,20,100,6,0,0.0,,,,300,,,
gr_7,globally_rigid,7,2026-08-18T22:41:25,20,100,7,0,0.0,,,,300,,,
gr_8,globally_rigid,8,2026-08-18T22:41:25,20,100,8,0,0.0,,,,300,,,
gr_9,globally_rigid,9,2026-08-18T22:41:25,20,100,9,0,0.0,,,,300,,,
gr_10,globally_rigid,10,2026-08-18T22:41:25,20,100,10,0,0.0,,,,300,,,
gr_11,globally_rigid,11,2026-08-18T22:41:25,100,100,11,0,0.0,,,,300,,,
gr_12,globally_rigid,12,2026-08-18T22:41:25,100,100,12,0,0.0,,,,300,,,
gr_13,globally_rigid,13,2026-08-18T22:41:25,100,100,13,0,0.0,,,,300,,,
gr_14,globally_rigid,14,2026-08-18T22:41:25,100,100,14,0,0.0,,,,300,,,
gr_15,globally_rigid,15,2026-08-18T22:41:25,100,100,15,0,0.0,,,,300,,,
gr_16,globally_rigid,16,2026-08-18T22:41:25,100,100,16,0,0.0,,,,300,,,
gr_17,globally_rigid,17,2026-08-18T22:41:25,100,100,17,0,0.0,,,,300,,,
gr_18,globally_rigid,18,2026-08-18T22:41:25,100,100,18,0,0.0,,,,300,,,
gr_19,globally_rigid,19,2026-08-18T22:41:25,100,100,19,0,0.0,,,,300,,,
gr_20,globally_rigid,20,2026-08-18T22:41:25,100,100,20,0,0.0,,,,300,,,
gr_21,globally_rigid,21,2026-08-18T22:41:25,20,100,21,3,0.0,,,,300,,,
gr_22,globally_rigid,22,2026-08-18T22:41:25,20,100,22,3,0.0,,,,300,,,
gr_23,globally_rigid,23,2026-08-18T22:41:25,20,100,23,3,0.0,,,,300,,,
gr_24,globally_rigid,24,2026-08-18T22:41:25,20,100,24,3,0.0,,,,300,,,
gr_25,globally_rigid,25,2026-08-18T22:41:25,20,100,25,3,0.0,,,,300,,,
gr_26,globally_rigid,26,2026-08-18T22:41:25,20,100,26,3,0.0,,,,300,,,
gr_27,globally_rigid,27,2026-08-18T22:41:25,20,100,27,3,0.0,,,,300,,,
gr_28,globally_rigid,28,2026-08-18T22:41:25,20,100,28,3,0.0,,,,300,,,
gr_29,globally_rigid,29,2026-08-18T22:41:25,20,100,29,3,0.0,,,,300,,,
gr_30,globally_rigid,30,2026-08-18T22:41:25,20,100,30,3,0.0,,,,300,,,
gr_31,globally_rigid,31,2026-08-18T22:41:25,100,100,31,3,0.0,,,,300,,,
gr_32,globally_rigid,32,2026-08-18T22:41:25,100,100,32,3,0.0,,,,300,,,
gr_33,globally_rigid,33,2026-08-18T22:41:25,100,100,33,3,0.0,,,,300,,,
gr_34,globally_rigid,34,2026-08-18T22:41:25,100,100,34,3,0.0,,,,300,,,
gr_35,globally_rigid,35,2026-08-18T22:41:25,100,100,35,3,0.0,,,,300,,,
gr_36,globally_rigid,36,2026-08-18T22:41:25,100,100,36,3,0.0,,,,300,,,
gr_37,globally_rigid,37,2026-08-18T22:41:25,100,100,37,3,0.0,,,,300,,,
gr_38,globally_rigid,38,2026-08-18T22:41:25,100,100,38,3,0.0,,,,300,,,
gr_39,globally_rigid,39,2026-08-18T22:41:25,100,100,39,3,0.0,,,,300,,,
gr_40,globally_rigid,40,2026-08-18T22:41:25,100,100,40,3,0.0,,,,300,,,
gr_41,globally_rigid,41,2026-08-18T22:41:25,20,100,41,0,0.01,,,,300,,,
gr_42,globally_rigid,42,2026-08-18T22:41:25,20,100,42,0,0.01,,,,300,,,
gr_43,globally_rigid,43,2026-08-18T22:41:25,20,100,43,0,0.01,,,,300,,,
gr_44,globally_rigid,44,2026-08-18T22:41:25,20,100,44,0,0.01,,,,300,,,
gr_45,globally_rigid,45,2026-08-18T22:41:25,20,100,45,0,0.01,,,,300,,,
gr_46,globally_rigid,46,2026-08-18T22:41:25,20,100,46,0,0.01,,,,300,,,
gr_47,globally_rigid,47,2026-08-18T22:41:25,20,100,47,0,0.01,,,,300,,,
gr_48,globally_rigid,48,2026-08-18T22:41:25,20,100,48,0,0.01,,,,300,,,
gr_49,globally_rigid,49,2026-08-18T22:41:25,20,100,49,0,0.01,,,,300,,,
gr_50,globally_rigid,50,2026-08-18T22:41:25,20,100,50,0,0.01,,,,300,,,
gr_51,globally_rigid,51,2026-08-18T22:41:25,100,100,51,0,0.01,,,,300,,,
gr_52,globally_rigid,52,2026-08-18T22:41:25,100,100,52,0,0.01,,,,300,,,
gr_53,globally_rigid,53,2026-08-18T22:41:25,100,100,53,0,0.01,,,,300,,,
gr_54,globally_rigid,54,2026-08-18T22:41:25,100,100,54,0,0.01,,,,300,,,
gr_55,globally_rigid,55,2026-08-18T22:41:25,100,100,55,0,0.01,,,,300,,,
gr_56,globally_rigid,56,2026-08-18T22:41:25,100,100,56,0,0.01,,,,300,,,
gr_57,globally_rigid,57,2026-08-18T22:41:25,100,100,57,0,0.01,,,,300,,,
gr_58,globally_rigid,58,2026-08-18T22:41:25,100,100,58,0,0.01,,,,300,,,
gr_59,globally_rigid,59,2026-08-18T22:41:25,100,100,59,0,0.01,,,,300,,,
gr_60,globally_rigid,60,2026-08-18T22:41:25,100,100,60,0,0.01,,,,300,,,
gr_61,globally_rigid,61,2026-08-18T22:41:25,20,100,61,3,0.01,,,,300,,,
gr_62,globally_rigid,62,2026-08-18T22:41:25,20,100,62,3,0.01,,,,300,,,
gr_63,globally_rigid,63,2026-08-18T22:41:25,20,100,63,3,0.01,,,,300,,,
gr_64,globally_rigid,64,2026-08-18T22:41:25,20,100,64,3,0.01,,,,300,,,
gr_65,globally_rigid,65,2026-08-18T22:41:25,20,100,65,3,0.01,,,,300,,,
gr_66,globally_rigid,66,2026-08-18T22:41:25,20,100,66,3,0.01,,,,300,,,
gr_67,globally_rigid,67,2026-08-18T22:41:25,20,100,67,3,0.01,,,,300,,,
gr_68,globally_rigid,68,2026-08-18T22:41:25,20,100,68,3,0.01,,,,300,,,
gr_69,globally_rigid,69,2026-08-18T22:41:25,20,100,69,3,0.01,,,,300,,,
gr_70,globally_rigid,70,2026-08-18T22:41:25,20,100,70,3,0.01,,,,300,,,
gr_71,globally_rigid,71,2026-08-18T22:41:25,100,100,71,3,0.01,,,,300,,,
gr_72,globally_rigid,72,2026-08-18T22:41:25,100,100,72,3,0.01,,,,300,,,
gr_73,globally_rigid,73,2026-08-18T22:41:25,100,100,73,3,0.01,,,,300,,,
gr_74,globally_rigid,74,2026-08-18T22:41:25,100,100,74,3,0.01,,,,300,,,
gr_75,globally_rigid,75,2026-08-18T22:41:25,100,100,75,3,0.01,,,,300,,,
gr_76,globally_rigid,76,2026-08-18T22:41:25,100,100,76,3,0.01,,,,300,,,
gr_77,globally_rigid,77,2026-08-18T22:41:25,100,100,77,3,0.01,,,,300,,,
gr_78,globally_rigid,78,2026-08-18T22:41:25,100,100,78,3,0.01,,,,300,,,
gr_79,globally_rigid,79,2026-08-18T22:41:25,100,100,79,3,0.01,,,,300,,,
gr_80,globally_rigid,80,2026-08-18T22:41:25,100,100,80,3,0.01,,,,300,,,
infeas_1,infeasible,1,2026-08-18T22:41:26,20,100,1,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_2,infeasible,2,2026-08-18T22:41:26,20,100,2,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_3,infeasible,3,2026-08-18T22:41:26,20,100,3,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_4,infeasible,4,2026-08-18T22:41:26,20,100,4,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_5,infeasible,5,2026-08-18T22:41:26,20,100,5,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_6,infeasible,6,2026-08-18T22:41:26,20,100,6,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_7,infeasible,7,2026-08-18T22:41:26,20,100,7,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_8,infeasible,8,2026-08-18T22:41:26,20,100,8,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_9,infeasible,9,2026-08-18T22:41:26,20,100,9,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_10,infeasible,10,2026-08-18T22:41:26,20,100,10,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_11,infeasible,11,2026-08-18T22:41:26,100,100,11,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_12,infeasible,12,2026-08-18T22:41:26,100,100,12,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_13,infeasible,13,2026-08-18T22:41:26,100,100,13,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_14,infeasible,14,2026-08-18T22:41:26,100,100,14,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_15,infeasible,15,2026-08-18T22:41:26,100,100,15,0,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_16,infeasible,16,2026-08-18T22:41:26,100,100,16,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_17,infeasible,17,2026-08-18T22:41:26,100,100,17,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_18,infeasible,18,2026-08-18T22:41:26,100,100,18,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_19,infeasible,19,2026-08-18T22:41:26,100,100,19,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_20,infeasible,20,2026-08-18T22:41:26,100,100,20,0,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_21,infeasible,21,2026-08-18T22:41:26,20,100,21,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_22,infeasible,22,2026-08-18T22:41:26,20,100,22,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_23,infeasible,23,2026-08-18T22:41:26,20,100,23,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_24,infeasible,24,2026-08-18T22:41:26,20,100,24,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_25,infeasible,25,2026-08-18T22:41:26,20,100,25,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_26,infeasible,26,2026-08-18T22:41:26,20,100,26,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_27,infeasible,27,2026-08-18T22:41:26,20,100,27,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_28,infeasible,28,2026-08-18T22:41:26,20,100,28,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_29,infeasible,29,2026-08-18T22:41:26,20,100,29,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_30,infeasible,30,2026-08-18T22:41:26,20,100,30,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_31,infeasible,31,2026-08-18T22:41:26,100,100,31,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_32,infeasible,32,2026-08-18T22:41:26,100,100,32,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_33,infeasible,33,2026-08-18T22:41:26,100,100,33,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_34,infeasible,34,2026-08-18T22:41:26,100,100,34,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_35,infeasible,35,2026-08-18T22:41:26,100,100,35,3,0.0,,,,300,bounding_box,globally_rigid,0.75
infeas_36,infeasible,36,2026-08-18T22:41:26,100,100,36,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_37,infeasible,37,2026-08-18T22:41:26,100,100,37,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_38,infeasible,38,2026-08-18T22:41:26,100,100,38,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_39,infeasible,39,2026-08-18T22:41:26,100,100,39,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_40,infeasible,40,2026-08-18T22:41:26,100,100,40,3,0.0,,,,300,vertex_contraction,globally_rigid,0.75
infeas_41,infeasible,41,2026-08-18T22:41:26,20,100,41,0,0.01,,,,300,bounding_box,globally_rigid,0.75
infeas_42,infeasible,42,2026-08-18T22:41:26,20,100,42,0,0.01,,,,300,bounding_box,globally_rigid,0.75
